title,first_name,last_name
"ALLEY EVOLUTION",JOHN,SUVARI
"BEVERLY OUTLAW",JOHN,SUVARI
"CANDLES GRAPES",JOHN,SUVARI
"CLEOPATRA DEVIL",JOHN,SUVARI
"COLOR PHILADELPHIA",JOHN,SUVARI
"CONQUERER NUTS",JOHN,SUVARI
"DAUGHTER MADIGAN",JOHN,SUVARI
"GLEAMING JAWBREAKER",JOHN,SUVARI
"GOLDMINE TYCOON",JOHN,SUVARI
"HOME PITY",JOHN,SUVARI
"INTERVIEW LIAISONS",JOHN,SUVARI
"ISHTAR ROCKETEER",JOHN,SUVARI
"JAPANESE RUN",JOHN,SUVARI
"JERSEY SASSY",JOHN,SUVARI
"LUKE MUMMY",JOHN,SUVARI
"MILLION ACE",JOHN,SUVARI
"MONSTER SPARTACUS",JOHN,SUVARI
"NAME DETECTIVE",JOHN,SUVARI
"NECKLACE OUTBREAK",JOHN,SUVARI
"NEWSIES STORY",JOHN,SUVARI
"PET HAUNTING",JOHN,SUVARI
"PIANIST OUTFIELD",JOHN,SUVARI
"PINOCCHIO SIMON",JOHN,SUVARI
"PITTSBURGH HUNCHBACK",JOHN,SUVARI
"QUILLS BULL",JOHN,SUVARI
"RAGING AIRPLANE",JOHN,SUVARI
"ROXANNE REBEL",JOHN,SUVARI
"SATISFACTION CONFIDENTIAL",JOHN,SUVARI
"SONG HEDWIG",JOHN,SUVARI
